CODE,NAME OF STOCK,CUR,TURNOVER ($),SHARES TRADED,HIGH,LOW
700,TENCENT,HKD,8184725625,25224551,"328,40","320,20"
2318,PING AN,HKD,2542986715,32766048,"77,85","77,15"
939,CCB,HKD,2249894918,331390610,"6,82","6,75"
941,CHINA MOBILE,HKD,1693348477,22549321,"75,75","74,50"
1299,AIA,HKD,1682664090,25302558,"67,00","65,50"
388,HKEX,HKD,1547933638,6523305,"239,80","233,80"
1398,ICBC,HKD,1407682430,245585851,"5,76","5,69"
3988,BANK OF CHINA,HKD,1189807073,342281769,"3,50","3,45"
2800,TRACKER FUND,HKD,1032445478,37793365,"27,45","27,20"
883,CNOOC,HKD,1022821925,74504070,"13,84","13,58"
