CODE,NAME OF STOCK,CUR,SHARES TRADED,TURNOVER ($),HIGH,LOW
28643,CSTENCT@EC1902K,HKD,7657780000,738109920,"0,108","0,087"
28557,JPTENCT@EC1902F,HKD,7483600000,727650550,"0,112","0,09"
15379,JPTENCT@EP1904K,HKD,7031690000,554814470,"0,082","0,068"
65415,JP#HSI  RP1903J,HKD,6027360000,339975480,"0,069","0,047"
63083,SG#HSI  RP1904A,HKD,5674520000,292489320,"0,063","0,041"
13505,CSTENCT@EP1903M,HKD,5603600000,571421870,"0,107","0,086"
62454,UB#HSI  RC2010W,HKD,4613620000,403618040,"0,096","0,08"
62054,CS#HSI  RP1902K,HKD,4168250000,213703650,"0,06","0,043"
63086,SG#HSI  RC2012Z,HKD,4136780000,358801010,"0,094","0,077"
65974,JP#HSI  RP1903R,HKD,4048720000,215588210,"0,063","0,043"
