CODE,NAME OF STOCK,REJECTED TRADES CONCLUDED ON 03/12/18
2,CLP HOLDINGS,"< P216,500-85.64 P216,500-85.64 P216,000-85.64"
,,"P173,000-85.64 >[ ]/-//[ ]< >"
11,HANG SENG BANK,< >[ D39-180.60 ]/-//[ ]< >
590,LUK FOOK HOLD,"< >[ ]/-//[ X88,000-23.259 X88,000-23.26 ]< >"
,,
CODE,NAME OF STOCK,CORRECTED TRADES CONCLUDED ON 03/12/18
2,CLP HOLDINGS,"< P216,000-86.25 P216,500-86.25 P216,500-86.25"
,,"P173,000-86.25 >[ ]/-//[ ]< >"
,,
,,
NET OF,ALL REJECTED AND,"CORRECTED SALES  03/12/18 :  HK$           -3,599,295"
,,
