,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,1,CKH HOLDINGS,HKD,"82,30","82,35","82,80",4439790
,,,,"82,35","82,30","81,95",365202355
,2,CLP HOLDINGS,HKD,"86,00","86,30","86,85",5360555
,,,,"86,30","86,25","85,75",461914872
,3,HK & CHINA GAS,HKD,"15,92","16,00","16,00",12276386
,,,,"16,00","15,98","15,86",195649604
,4,WHARF HOLDINGS,HKD,"21,30","21,40","21,55",1718020
,,,,"21,40","21,35","21,10",36677151
*,5,HSBC HOLDINGS,HKD,"68,20","68,10","68,25",13049258
,,,,"68,10","68,05","67,80",887437463
,6,POWER ASSETS,HKD,"52,90","52,70","53,25",4690088
,,,,"52,70","52,65","52,45",247137761
,7,HK FINANCE INV,HKD,"0,94","0,95","0,95",1474000
,,,,"0,95","0,93","0,93",1377800
,8,PCCW,HKD,"4,52","4,51","4,53",8334808
,,,,"4,51","4,49","4,46",37462772
,9,NINE EXPRESS,HKD,"0,255","0,26",-,-
,,,,"0,255","0,25",-,-
,10,HANG LUNG GROUP,HKD,"21,50","21,60","21,65",2334703
,,,,"21,60","21,55","20,90",49893866
,11,HANG SENG BANK,HKD,"183,80","187,20","187,30",2372810
,,,,"187,20","187,10","183,00",440498420
,12,HENDERSON LAND,HKD,"40,80","40,60","40,80",1877744
,,,,"40,60","40,55","40,50",76266707
,14,HYSAN DEV,HKD,"38,10","37,90","38,10",995076
,,,,"37,90","37,85","37,45",37637767
,15,VANTAGE INT'L,HKD,"0,69","0,70","0,67",38000
,,,,"0,67","0,67","0,67",25460
,16,SHK PPT,HKD,"114,20","113,60","114,30",3064946
,,,,"113,60","113,50","113,10",348309855
,17,NEW WORLD DEV,HKD,"10,78","10,84","10,84",8348658
,,,,"10,84","10,82","10,74",90318430
,18,ORIENTAL PRESS,HKD,"0,83","0,84","0,84",529200
,,,,"0,82","0,82","0,82",438560
,19,SWIRE PACIFIC A,HKD,"86,40","85,05","85,90",2193113
,,,,"85,05","85,00","84,15",186157685
,20,WHEELOCK,HKD,"45,85","45,90","46,10",819439
,,,,"45,90","45,75","45,45",37568171
,21,GREAT CHI PPT,HKD,"0,158","0,166","0,167",110000
,,,,"0,166","0,158","0,157",17375
,22,MEXAN,HKD,"0,244","0,244","0,241",80720
,,,,"0,241","0,241","0,241",19449
,23,BANK OF E ASIA,HKD,"26,60","26,75","26,75",602395
,,,,"26,70","26,70","26,40",16044728
,24,BURWILL,HKD,"0,162","0,159","0,164",5782000
,,,,"0,159","0,158","0,157",919040
,25,CHEVALIER INT'L,HKD,"11,64","11,86","11,88",13375
,,,,"11,86","11,60","11,60",158197
,26,CHINA MOTOR BUS,HKD,"96,00","98,00","96,50",2600
,,,,"96,15","96,15","96,00",250330
*,27,GALAXY ENT,HKD,"52,80","52,90","53,40",15683925
,,,,"52,90","52,85","51,85",824794838
,28,TIAN AN,HKD,"4,10","4,19","4,20",35000
,,,,"4,15","4,08","4,11",144350
,29,DYNAMIC HOLD,HKD,"7,39","7,29","7,46",134787
,,,,"7,03","7,02","7,02",991213
,30,BAN LOONG HOLD,HKD,"0,183","0,183","0,187",112000
,,,,"0,183","0,176","0,18",20460
,31,CHINA AEROSPACE,HKD,"0,54","0,54","0,55",9097200
,,,,"0,54","0,53","0,53",4892368
,32,CROSS-HAR(HOLD),HKD,"12,14","12,06","12,12",106912
,,,,"12,04","12,04","12,04",1290765
,33,ASIA INV FIN,HKD,"0,047","0,041","0,046",39316000
,,,,"0,041","0,04","0,039",1599544
,34,KOWLOON DEV,HKD,"8,43","8,48","8,48",287000
,,,,"8,48","8,47","8,42",2425950
,35,FE CONSORT INTL,HKD,"3,74","3,79","3,79",520831
,,,,"3,78","3,76","3,71",1950202
,36,FE HLDGS INTL,HKD,"0,41","0,415","0,43",279000
,,,,"0,405","0,40","0,40",113325
,37,FE HOTELS,HKD,"0,255","0,275",-,-
,,,,"0,255","0,255",-,-
,38,FIRST TRACTOR,HKD,"1,97","1,98","1,98",164000
,,,,"1,98","1,96","1,95",322780
,39,CH BEIDAHUANG,HKD,"0,194","0,196","0,199",732000
,,,,"0,196","0,193","0,193",143928
