CODE,NAME OF STOCK,SALES RECORD
1,CKH HOLDINGS,"< 9,500-82.80 9,500-82.80 9,000-82.80 >[ 6,500-82.25"
,,"18,000-82.10 9,500-82.05 6,500-82.05 7,500-82.35"
,,"8,000-82.15 8,500-82.00 11,000-82.00 7,500-82.00"
,,"7,000-82.10 ]/-//[ 8,000-82.25 6,500-82.25 8,000-82.35"
,,"9,500-82.35 13,000-82.35 8,500-82.25 X8,500-82.25"
,,"X285,000-82.225 15,000-82.20 7,000-82.05 9,000-82.05"
,,"14,000-82.10 9,500-82.15 7,000-82.10 8,500-82.25"
,,"7,500-82.10 ]< U8,500-82.35 15,000-82.35 25,000-82.35"
,,"23,500-82.35 69,000-82.35 8,000-82.35 70,500-82.35"
,,"84,500-82.35 18,000-82.35 12,000-82.35 U14,000-82.35"
,,"43,500-82.35 14,000-82.35 19,000-82.35 7,000-82.35"
,,"15,000-82.35 15,000-82.35 32,000-82.35 16,500-82.35"
,,"9,000-82.35 27,000-82.35 19,000-82.35 21,500-82.35"
,,"8,000-82.35 11,500-82.35 33,500-82.35 U17,000-82.35"
,,"15,000-82.35 7,500-82.35 7,000-82.35 20,500-82.35 >"
2,CLP HOLDINGS,"< P117,250-86.474 P50,250-86.473 P7,100-86.538"
,,"P28,400-86.537 8,000-86.85 7,000-86.85 6,500-86.85"
,,"12,500-86.85 7,000-86.85 8,000-86.85 8,500-86.85"
,,"8,500-86.85 8,500-86.85 7,000-86.85 7,000-86.85"
,,"6,500-86.85 >[ 8,500-86.00 11,000-86.10 7,500-86.05"
,,"6,000-86.00 15,000-86.00 8,000-85.95 7,000-85.90"
,,"10,000-86.00 8,500-85.90 6,500-85.85 10,000-85.85"
,,"7,500-85.80 11,000-85.85 8,000-85.85 12,000-85.95"
,,"6,000-86.15 9,500-86.00 6,000-85.85 8,500-85.80"
,,"6,500-85.80 7,500-86.00 6,000-85.95 6,000-85.90 ]/-//["
,,"20,000-86.00 7,500-86.05 9,000-86.05 10,000-86.10"
,,"11,000-86.10 10,000-86.30 6,500-86.25 13,500-86.15"
,,"13,000-86.15 6,500-86.25 8,000-86.15 7,000-86.20"
,,"8,000-86.20 ]< U9,500-86.30 6,500-86.30 6,500-86.30"
,,"38,500-86.30 37,500-86.30 62,500-86.30 8,500-86.30"
,,"10,500-86.30 93,000-86.30 U8,000-86.30 9,000-86.30"
,,"6,500-86.30 14,500-86.30 48,500-86.30 16,000-86.30"
,,"15,000-86.30 6,500-86.30 29,000-86.30 8,000-86.30"
,,"7,000-86.30 81,500-86.30 11,000-86.30 9,500-86.30"
,,"9,500-86.30 6,500-86.30 10,500-86.30 8,000-86.30"
,,"11,000-86.30 35,000-86.30 9,000-86.30 22,000-86.30"
,,"9,500-86.30 10,500-86.30 13,000-86.30 9,500-86.30"
,,"9,500-86.30 21,000-86.30 9,500-86.30 10,500-86.30"
,,"10,500-86.30 10,000-86.30 U26,500-86.30 >"
3,HK & CHINA GAS,"< >[ 197,000-15.88 35,000-15.90 59,000-15.90"
,,"106,000-15.90 50,000-15.90 ]/-//[ 45,000-15.92"
,,"32,000-15.92 40,000-15.92 50,000-15.92 72,000-15.92"
,,"X35,000-15.94 35,000-15.94 ]< 48,000-16.00 46,000-16.00"
,,"44,000-16.00 131,000-16.00 78,000-16.00 75,000-16.00"
,,"157,000-16.00 58,000-16.00 139,000-16.00 53,000-16.00"
,,"102,000-16.00 38,000-16.00 81,000-16.00 50,000-16.00"
,,"41,000-16.00 >"
4,WHARF HOLDINGS,"< >[ ]/-//[ 28,000-21.25 ]< 24,000-21.40 32,000-21.40"
,,"39,000-21.40 >"
5,HSBC HOLDINGS,"< U19,600-68.00 8,000-68.00 10,400-68.00 12,000-68.00"
,,"28,000-68.00 >[ 24,000-67.95 10,800-68.00 10,000-68.00"
,,"7,600-68.00 10,000-67.95 10,000-67.95 9,200-67.90"
,,"15,200-67.95 10,400-68.00 10,000-68.00 30,000-68.00"
,,"10,000-68.00 12,400-68.05 14,400-68.10 10,000-68.00"
,,"11,600-68.05 13,600-68.10 7,600-68.15 8,000-68.15"
,,"10,400-68.20 12,400-68.15 15,600-68.20 9,200-68.20"
,,"7,600-68.20 10,000-68.20 16,800-68.20 8,000-68.20"
,,"10,000-68.15 9,200-68.10 8,000-68.10 10,800-68.10"
,,"10,000-68.10 29,200-68.10 15,600-68.10 15,600-68.10"
,,"10,000-68.10 9,200-68.10 12,400-68.15 10,000-68.10"
,,"35,200-68.10 10,000-68.10 9,600-68.10 14,400-68.10"
,,"15,200-68.10 8,400-68.20 11,600-68.15 11,600-68.15"
,,"24,000-68.10 7,600-68.10 26,800-68.10 7,600-68.05"
,,"14,000-68.05 13,600-68.05 22,800-68.05 8,800-68.15"
,,"7,600-68.15 16,000-68.20 8,800-68.20 14,800-68.15"
,,"12,800-68.15 8,800-68.15 72,400-68.15 8,000-68.15"
,,"10,000-68.15 8,000-68.15 10,000-68.25 9,600-68.20"
,,"14,000-68.20 10,000-68.15 10,000-68.15 10,000-68.15"
,,"20,000-68.10 20,000-68.10 10,000-68.10 10,000-68.10"
,,"10,000-68.10 30,400-68.10 13,600-68.10 10,000-68.10"
,,"10,000-68.05 10,000-68.05 9,200-68.05 11,200-68.05"
,,"7,600-68.00 12,800-68.00 7,600-68.05 12,000-68.05"
,,"19,600-68.05 10,000-68.00 10,000-68.05 8,800-68.05"
,,"8,000-68.05 44,000-68.10 8,000-68.05 8,000-68.05"
,,"24,000-68.05 ]/-//[ 10,000-68.00 10,000-68.00"
,,"28,000-68.00 11,600-68.00 24,000-67.95 10,400-67.95"
,,"17,200-67.95 10,000-67.95 8,000-67.95 9,200-67.95"
,,"8,000-67.95 7,600-67.95 8,000-67.95 16,000-67.95"
,,"10,800-67.95 7,600-67.95 10,000-67.90 50,000-67.90"
,,"10,000-67.85 10,000-67.85 8,400-67.85 8,800-67.85"
,,"8,800-67.85 48,000-67.85 10,000-67.85 10,000-67.85"
,,"8,000-67.80 X608,000-67.85 8,800-67.85 20,000-67.85"
,,"20,000-67.85 8,800-67.80 18,400-67.85 16,800-67.85"
,,"20,000-67.85 X10,800-67.85 24,800-67.85 8,800-67.85"
,,"10,000-67.90 17,600-67.85 10,000-67.80 8,000-67.80"
,,"10,000-67.80 9,600-67.85 8,800-67.85 20,000-67.85"
,,"10,800-67.85 7,600-67.85 14,800-67.90 20,000-67.90"
,,"8,400-67.90 10,400-67.90 8,000-67.90 25,600-67.90"
,,"8,400-67.90 9,600-67.95 13,200-67.95 8,800-67.95"
,,"10,400-67.95 10,000-67.95 10,000-67.95 14,400-67.95"
,,"15,600-67.95 10,000-67.95 18,800-67.95 16,800-67.95"
,,"8,000-67.95 11,200-68.00 14,000-68.00 9,200-68.00"
,,"15,600-68.00 15,600-68.00 10,000-68.00 17,200-68.00"
,,"7,600-68.00 20,400-68.00 32,000-68.00 10,400-68.00"
,,"7,600-68.00 25,600-68.00 10,000-68.00 8,400-68.00"
,,"10,000-68.00 8,000-67.95 48,800-67.95 8,800-67.95"
,,"25,600-67.95 8,800-67.90 52,800-67.95 16,000-67.95"
,,"15,200-67.95 9,600-67.95 10,000-67.95 24,800-67.95"
,,"16,000-67.95 14,000-67.95 81,200-67.95 9,600-67.95"
,,"10,000-67.95 10,800-67.90 9,200-67.90 9,200-67.95"
,,"11,200-67.95 9,600-68.00 43,600-68.00 8,000-68.00"
,,"8,000-68.05 10,000-68.05 12,800-68.05 8,400-68.05"
,,"14,800-68.05 38,400-68.05 10,000-68.05 8,400-68.05"
,,"24,400-68.05 10,000-68.10 24,000-68.05 22,800-68.05"
,,"24,000-68.10 20,400-68.05 35,600-68.00 10,000-68.00"
,,"14,400-68.00 15,200-68.05 10,000-68.00 21,600-68.00"
,,"24,000-68.00 10,000-68.00 9,200-68.00 8,800-68.00"
,,"11,600-68.00 19,200-68.00 10,000-68.00 10,000-68.00"
,,"10,000-68.00 7,600-68.00 12,400-67.95 40,000-67.95"
,,"8,400-67.95 16,000-67.95 51,600-67.95 8,400-67.90"
,,"8,000-67.90 9,600-67.90 10,000-67.90 8,400-67.90"
,,"M34,000-68.05 9,200-67.95 8,000-67.95 22,800-67.95"
,,"9,200-67.95 10,400-67.95 8,400-67.95 11,200-67.95"
,,"29,200-67.95 10,000-67.95 13,200-67.95 9,600-67.95"
,,"22,000-67.95 15,200-67.95 8,400-67.95 53,600-67.95"
,,"9,200-67.95 8,000-67.95 7,600-67.90 11,200-67.95"
,,"M68,000-68.05 8,000-68.00 8,400-68.00 12,000-68.00"
,,"10,400-68.00 11,200-68.00 12,400-68.00 7,600-68.00"
,,"40,400-68.00 10,000-67.95 M51,200-68.05 8,000-67.95"
,,"8,000-68.00 12,400-67.95 11,600-68.00 10,000-67.95"
,,"7,600-67.95 8,000-67.95 8,000-67.90 10,400-67.95"
,,"10,000-67.95 9,600-67.95 9,200-67.95 11,600-67.95"
,,"8,400-67.95 22,400-67.95 8,000-67.95 7,600-67.95"
,,"10,000-67.95 7,600-67.95 10,800-67.95 10,000-68.00"
,,"8,400-68.00 9,200-68.05 ]< 60,400-68.10 8,400-68.10"
,,"14,000-68.10 146,000-68.10 28,400-68.10 10,000-68.10"
,,"21,600-68.10 36,000-68.10 44,000-68.10 12,000-68.10"
,,"8,000-68.10 7,600-68.10 7,600-68.10 8,400-68.10"
,,"9,200-68.10 57,200-68.10 10,000-68.10 20,400-68.10"
,,"30,000-68.10 30,000-68.10 13,200-68.10 57,200-68.10"
,,"10,000-68.10 16,000-68.10 12,800-68.10 38,400-68.10"
,,"50,000-68.10 12,000-68.10 10,000-68.10 10,000-68.10"
,,"10,800-68.10 8,400-68.10 8,000-68.10 >"
