,,Total Short,Selling Turno,ver         Total,Turnover
CODE,NAME OF STOCK,(SH),($),(SH),($)
1,CKH HOLDINGS,433000,35612825,4439790,365202356
2,CLP HOLDINGS,256500,22089050,5360555,461914872
3,HK & CHINA GAS,1392000,22180260,12276386,195649604
4,WHARF HOLDINGS,524000,11181950,1718020,36677152
5,HSBC HOLDINGS,2936800,199756520,13049258,887437463
6,POWER ASSETS,600500,31641350,4690088,247137761
8,PCCW,550000,2478470,8334808,37462773
10,HANG LUNG GROUP,44000,943150,2334703,49893867
11,HANG SENG BANK,540000,100160040,2372810,440498420
12,HENDERSON LAND,502000,20397050,1877744,76266707
14,HYSAN DEV,12000,453800,995076,37637767
16,SHK PPT,1038500,118065550,3064946,348309855
17,NEW WORLD DEV,463000,5013620,8348658,90318431
19,SWIRE PACIFIC A,106000,8994925,2193113,186157685
20,WHEELOCK,135000,6195100,819439,37568172
23,BANK OF E ASIA,40000,1064980,602395,16044728
27,GALAXY ENT,6552000,344411000,15683925,824794838
34,KOWLOON DEV,2000,16900,287000,2425950
35,FE CONSORT INTL,1000,3780,520831,1950202
41,GREAT EAGLE H,1000,33650,306349,10305836
45,HK&S HOTELS,41000,501360,403000,4932680
52,FAIRWOOD HOLD,2500,67950,131000,3548863
62,TRANSPORT INT'L,1200,25500,151428,3220741
66,MTR CORPORATION,650500,26573725,3135525,128060845
69,SHANGRI-LA ASIA,140000,1611680,901058,10372411
78,REGAL INT'L,4000,18560,826000,3797840
81,CH OVS G OCEANS,160000,447850,5866000,16401130
83,SINO LAND,108000,1490840,3570418,49197918
86,SUN HUNG KAI CO,3000,11470,529029,2014105
101,HANG LUNG PPT,176000,2789900,4989913,78974309
107,SICHUAN EXPRESS,28000,68600,800000,1960860
119,POLY PROPERTY,158000,418160,3644000,9604115
120,COSMOPOL-2K,22000,33100,1940000,2923360
123,YUEXIU PROPERTY,3102000,4526780,21518128,31286220
127,CHINESE EST H,79000,690800,472000,4133410
135,KUNLUN ENERGY,2848000,27084700,22202691,212031443
136,HENGTEN NET,2168000,596200,74343888,20251279
142,FIRST PACIFIC,266000,810580,3194685,9739109
144,CHINA MER PORT,1216000,18504000,9251073,139707709
148,KINGBOARD HLDG,154500,3740100,4452052,107067960
151,WANT WANT CHINA,5193000,30097820,19094644,110736298
152,SHENZHEN INT'L,229500,3657590,1334280,21271558
161,AVIC IHL,34000,153080,1076000,4827820
163,EMPEROR INT'L,28000,54840,970482,1901645
165,CHINA EB LTD,396000,5889880,2638340,39145337
168,TSINGTAO BREW,194000,6239300,1179227,37753070
173,K. WAH INT'L,250000,1001230,6330237,25266999
175,GEELY AUTO,13288000,207662260,42346533,661270797
177,JIANGSU EXPRESS,810000,8700680,3675582,39497070
178,SA SA INT'L,938000,3000420,5223847,16729121
179,JOHNSON ELEC H,20500,374730,344750,6298215
182,CONCORD NE,20000,6100,6050000,1843300
189,DONGYUE GROUP,65000,294840,5450300,24843345
196,HONGHUA GROUP,415000,201275,4407000,2139815
200,MELCO INT'L DEV,1082000,17847920,3648515,60136754
207,JOY CITY PPT,78000,68640,2224000,1951100
215,HUTCHTEL HK,24000,70780,2851143,8407455
220,U-PRESID CHINA,2739000,18560510,12070730,81932738
241,ALI HEALTH,934000,6687040,10217732,73100258
242,SHUN TAK HOLD,40000,105680,2062204,5449342
256,CITYCHAMP,54000,90180,2538000,4220932
257,CHINA EB INT'L,3775000,26707550,15597351,110384909
267,CITIC,4513000,57973200,14056252,180637262
268,KINGDEE INT'L,3415000,27875340,30740627,250945014
270,GUANGDONG INV,374000,5401600,21342102,305942714
272,SHUI ON LAND,421000,781230,9968821,18416446
